situated,positioned,positioned,correct
tranquillity,peacefulness,weariness,wrong
keen,useful,famous,wrong
costly,expensive,expensive,correct
unlikely,improbable,improbable,correct
temperate,mild,mild,correct
often,frequently,hardly,wrong
hastily,hurriedly,hurriedly,guess
prospective,potential,prominent,wrong
dissipate,disperse,isolate,wrong
prolific,productive,promising,wrong
percentage,proportion,profit,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
bigger,larger,steadier,guess
arranged,planned,discarded,wrong
prominent,conspicuous,ancient,wrong
consumed,eaten,eaten,correct
discrepancies,differences,deposits,wrong
built,constructed,organized,wrong
